주문일자,상품명,카테고리,단가,수량
2026-02-07,샌드위치,베이커리,7000,3
2026-02-07,치즈케이크,디저트,6500,1
2026-02-07,크로플,디저트,6000,1
2026-02-07,콜드브루,음료,5500,2
2026-02-07,카페라떼,음료,5000,1
2026-02-08,바닐라라떼,음료,5500,1
2026-02-08,카푸치노,음료,5000,3
2026-02-08,샌드위치,베이커리,7000,3
2026-02-08,스콘,디저트,4000,1
2026-02-08,크루아상,베이커리,4500,2
2026-02-09,휘낭시에,디저트,3500,2
2026-02-09,스콘,디저트,4000,2
2026-02-10,바닐라라떼,음료,5500,3
2026-02-10,치즈케이크,디저트,6500,1
2026-02-10,아메리카노,음료,4500,3
2026-02-10,카푸치노,음료,5000,1
2026-02-11,카페라떼,음료,5000,1
2026-02-11,아메리카노,음료,4500,2
2026-02-12,휘낭시에,디저트,3500,1
2026-02-12,휘낭시에,디저트,3500,2
2026-02-12,휘낭시에,디저트,3500,1
2026-02-13,크루아상,베이커리,4500,1
2026-02-13,스콘,디저트,4000,1
2026-02-13,치즈케이크,디저트,6500,3
2026-02-13,스콘,디저트,4000,1
2026-02-14,크로플,디저트,6000,1
2026-02-16,치즈케이크,디저트,6500,2
2026-02-16,아메리카노,음료,4500,2
2026-02-16,크루아상,베이커리,4500,1
2026-02-16,휘낭시에,디저트,3500,1
2026-02-17,휘낭시에,디저트,3500,3
2026-02-17,스콘,디저트,4000,1
2026-02-17,크로플,디저트,6000,1
2026-02-19,카푸치노,음료,5000,2
2026-02-19,카푸치노,음료,5000,1
2026-02-19,치즈케이크,디저트,6500,1
2026-02-19,카푸치노,음료,5000,1
2026-02-19,아메리카노,음료,4500,2
2026-02-19,크로플,디저트,6000,2
2026-02-20,크로플,디저트,6000,1
2026-02-20,아메리카노,음료,4500,3
2026-02-20,치즈케이크,디저트,6500,2
2026-02-20,카페라떼,음료,5000,2
2026-02-21,샌드위치,베이커리,7000,1
2026-02-21,스콘,디저트,4000,2
2026-02-21,콜드브루,음료,5500,1
2026-02-21,스콘,디저트,4000,1
2026-02-21,샌드위치,베이커리,7000,1
2026-02-21,카푸치노,음료,5000,1
2026-02-21,카푸치노,음료,5000,1
2026-02-22,카푸치노,음료,5000,2
2026-02-22,카페라떼,음료,5000,1
2026-02-22,콜드브루,음료,5500,1
2026-02-22,아메리카노,음료,4500,2
2026-02-22,크로플,디저트,6000,2
2026-02-22,콜드브루,음료,5500,1
2026-02-22,콜드브루,음료,5500,1
2026-02-22,치즈케이크,디저트,6500,1
2026-02-23,치즈케이크,디저트,6500,1
2026-02-23,카페라떼,음료,5000,2
2026-02-23,콜드브루,음료,"5,500",1
2026-02-24,아메리카노,음료,4500,1
2026-02-24,치즈케이크,디저트,6500,2
2026-02-25,아메리카노,음료,4500,1
2026-02-25,카페라떼,음료,5000,2
2026-02-26,카페라떼,음료,5000,1
2026-02-26,크루아상,베이커리,4500,1
2026-02-27,치즈케이크,디저트,6500,1
2026-02-27,카페라떼,음료,5000,1
2026-02-27,콜드브루,음료,5500,2
2026-02-27,바닐라라떼,음료,5500,1
2026-02-28,휘낭시에,디저트,3500,1
2026-02-28,바닐라라떼,음료,5500,2
2026-02-28,바닐라라떼,음료,5500,1
2026-03-01,바닐라라떼,음료,5500,1
2026-03-01,카페라떼,음료,5000,1
2026-03-01,바닐라라떼,음료,5500,1
2026-03-01,스콘,디저트,4000,1
2026-03-01,바닐라라떼,음료,5500,1
2026-03-01,스콘,디저트,4000,1
2026-03-01,스콘,디저트,4000,1
2026-03-02,샌드위치,베이커리,7000,2
2026-03-02,샌드위치,베이커리,7000,1
2026-03-03,카페라떼,음료,5000,1
2026-03-03,치즈케이크,디저트,6500,3
2026-03-03,카푸치노,음료,5000,1
2026-03-04,스콘,디저트,4000,1
2026-03-04,카푸치노,음료,5000,1
2026-03-05,치즈케이크,디저트,6500,1
2026-03-06,치즈케이크,디저트,6500,2
2026-03-07,휘낭시에,디저트,3500,1
2026-03-07,콜드브루,음료,5500,1
2026-03-07,샌드위치,베이커리,7000,3
2026-03-07,아메리카노,음료,4500,1
2026-03-07,크로플,디저트,6000,1
2026-03-07,카푸치노,음료,5000,3
2026-03-08,카푸치노,음료,5000,2
2026-03-08,샌드위치,베이커리,7000,1
2026-03-08,스콘,디저트,4000,1
2026-03-09,콜드브루,음료,5500,1
2026-03-09,크로플,디저트,6000,3
2026-03-09,카페라떼,음료,5000,2
2026-03-09,콜드브루,음료,5500,1
2026-03-10,스콘,디저트,4000,1
2026-03-10,치즈케이크,디저트,6500,1
2026-03-10,치즈케이크,디저트,6500,1
2026-03-11,바닐라라떼,음료,5500,2
2026-03-11,카푸치노,음료,5000,1
2026-03-11,치즈케이크,디저트,6500,3
2026-03-11,크루아상,베이커리,4500,2
2026-03-12,샌드위치,베이커리,7000,2
2026-03-12,크루아상,베이커리,4500,1
2026-03-13,바닐라라떼,음료,5500,2
2026-03-13,카페라떼,음료,5000,2
2026-03-13,크루아상,베이커리,4500,3
2026-03-13,카페라떼,음료,5000,1
2026-03-15,바닐라라떼,음료,5500,2
2026-03-15,스콘,디저트,4000,1
2026-03-15,바닐라라떼,음료,5500,2
2026-03-16,크루아상,베이커리,4500,2
2026-03-16,콜드브루,음료,5500,1
2026-03-17,샌드위치,베이커리,7000,3
2026-03-17,콜드브루,음료,5500,1
2026-03-18,카푸치노,음료,5000,2
2026-03-18,카푸치노,음료,5000,1
2026-03-18,카페라떼,음료,5000,1
2026-03-19,휘낭시에,디저트,3500,1
2026-03-19,스콘,디저트,4000,1
2026-03-20,카푸치노,음료,5000,3
2026-03-20,크루아상,베이커리,4500,1
2026-03-21,휘낭시에,디저트,3500,1
2026-03-22,스콘,디저트,4000,1
2026-03-22,카푸치노,음료,5000,2
2026-03-22,휘낭시에,디저트,3500,2
2026-03-22,아메리카노,음료,4500,2
2026-03-22,아메리카노,음료,4500,2
2026-03-24,바닐라라떼,음료,5500,1
2026-03-24,크로플,디저트,6000,1
2026-03-25,크루아상,베이커리,4500,3
2026-03-25,스콘,디저트,4000,1
2026-03-25,카페라떼,음료,5000,1
2026-03-25,카푸치노,음료,5000,2
2026-03-25,크루아상,베이커리,4500,1
2026-03-25,카푸치노,음료,5000,1
2026-03-25,아메리카노,음료,4500,1
2026-03-26,스콘,디저트,4000,1
2026-03-26,카푸치노,음료,5000,2
2026-03-27,카페라떼,음료,5000,2
2026-03-28,크로플,디저트,6000,1
2026-03-29,콜드브루,음료,5500,1
2026-03-30,바닐라라떼,음료,5500,2
2026-03-30,휘낭시에,디저트,3500,1
2026-03-30,카푸치노,음료,5000,2
2026-03-30,콜드브루,음료,5500,1
2026-03-31,크루아상,베이커리,4500,2
2026-03-31,스콘,디저트,4000,1
2026-04-01,스콘,디저트,4000,2
2026-04-01,콜드브루,음료,5500,1
2026-04-01,카페라떼,음료,5000,1
2026-04-02,바닐라라떼,음료,5500,1
2026-04-02,카페라떼,음료,5000,1
2026-04-02,카푸치노,음료,5000,2
2026-04-03,바닐라라떼,음료,5500,2
2026-04-03,치즈케이크,디저트,6500,2
2026-04-03,휘낭시에,디저트,3500,1
2026-04-03,스콘,디저트,4000,1
2026-04-03,바닐라라떼,음료,5500,3
2026-04-03,휘낭시에,디저트,3500,1
2026-04-04,스콘,디저트,4000,1
2026-04-04,바닐라라떼,음료,5500,1
2026-04-04,카페라떼,음료,5000,1
2026-04-04,아메리카노,음료,4500,1
2026-04-04,아메리카노,음료,4500,1
2026-04-05,크루아상,베이커리,4500,1
2026-04-05,콜드브루,음료,5500,2
2026-04-05,스콘,디저트,4000,1
2026-04-05,크로플,디저트,6000,2
2026-04-05,카푸치노,음료,5000,3
2026-04-06,카페라떼,음료,5000,1
2026-04-06,바닐라라떼,음료,5500,2
2026-04-06,아메리카노,음료,4500,1
2026-04-06,콜드브루,음료,5500,1
2026-04-06,치즈케이크,디저트,6500,1
2026-04-07,바닐라라떼,음료,5500,2
2026-04-07,콜드브루,음료,5500,1
2026-04-08,카페라떼,음료,5000,1
2026-04-09,휘낭시에,디저트,3500,1
2026-04-09,스콘,디저트,4000,3
2026-04-11,스콘,디저트,4000,2
2026-04-11,스콘,디저트,4000,1
2026-04-12,스콘,디저트,4000,2
2026-04-13,치즈케이크,디저트,6500,1
2026-04-13,크루아상,베이커리,4500,1
2026-04-14,바닐라라떼,음료,5500,1
2026-04-14,아메리카노,음료,4500,1
2026-04-14,아메리카노,음료,4500,2
2026-04-14,샌드위치,베이커리,7000,2
2026-04-15,카페라떼,음료,5000,2
2026-04-16,치즈케이크,디저트,6500,1
2026-04-16,카푸치노,음료,5000,1
2026-04-17,크로플,디저트,6000,1
2026-04-17,아메리카노,음료,4500,1
2026-04-17,치즈케이크,디저트,6500,1
2026-04-18,카푸치노,음료,5000,1
2026-04-18,스콘,디저트,4000,3
2026-04-20,바닐라라떼,음료,5500,1
2026-04-21,바닐라라떼,음료,5500,1
2026-04-21,콜드브루,음료,5500,2
2026-04-21,크로플,디저트,6000,1
2026-04-22,바닐라라떼,음료,5500,1
2026-04-22,카푸치노,음료,5000,1
2026-04-23,스콘,디저트,4000,2
2026-04-24,크로플,디저트,6000,1
2026-04-25,콜드브루,음료,5500,2
2026-04-25,샌드위치,베이커리,7000,2
2026-04-25,카푸치노,음료,5000,2
2026-04-25,크로플,디저트,6000,1
2026-04-25,크루아상,베이커리,4500,2
2026-04-26,크루아상,베이커리,4500,2
2026-04-26,크로플,디저트,6000,2
2026-04-26,샌드위치,베이커리,7000,2
2026-04-27,휘낭시에,디저트,3500,2
2026-04-27,치즈케이크,디저트,6500,1
2026-04-27,아메리카노,음료,4500,2
2026-04-27,카푸치노,음료,5000,3
2026-04-28,크로플,디저트,6000,2
2026-04-28,바닐라라떼,음료,5500,1
2026-04-29,치즈케이크,디저트,6500,2
2026-04-29,아메리카노,음료,4500,1
2026-04-29,아메리카노,음료,4500,1
2026-04-29,카페라떼,음료,5000,1
2026-04-30,카푸치노,음료,5000,2
2026-04-30,카페라떼,음료,5000,2
2026-04-30,콜드브루,음료,5500,2
2026-05-01,아메리카노,음료,4500,1
2026-05-01,크로플,디저트,6000,2
2026-05-02,콜드브루,음료,5500,1
2026-05-02,콜드브루,음료,5500,2
2026-05-02,아메리카노,음료,4500,2
2026-05-02,치즈케이크,디저트,6500,1
2026-05-02,콜드브루,음료,5500,2
2026-05-03,스콘,디저트,4000,1
2026-05-03,샌드위치,베이커리,7000,1
2026-05-04,아메리카노,음료,4500,1
2026-05-04,치즈케이크,디저트,6500,1
2026-05-05,바닐라라떼,음료,5500,3
2026-05-05,치즈케이크,디저트,6500,1
2026-05-05,아메리카노,음료,4500,3
2026-05-05,치즈케이크,디저트,6500,3
2026-05-05,치즈케이크,디저트,6500,2
2026-05-06,치즈케이크,디저트,6500,1
2026-05-06,콜드브루,음료,5500,1
2026-05-06,아메리카노,음료,4500,1
2026-05-06,카푸치노,음료,5000,1
2026-05-06,샌드위치,베이커리,7000,2
2026-05-07,크로플,디저트,6000,1
2026-05-07,아메리카노,음료,4500,2
2026-05-07,카푸치노,음료,5000,1
2026-05-07,크루아상,베이커리,4500,1
2026-05-07,샌드위치,베이커리,7000,1
2026-05-07,치즈케이크,디저트,6500,1
2026-05-07,크로플,디저트,6000,2
2026-05-08,카페라떼,음료,5000,1
2026-05-08,샌드위치,베이커리,7000,1
2026-05-08,휘낭시에,디저트,3500,2
2026-05-08,스콘,디저트,4000,2
2026-05-09,카푸치노,음료,5000,2
2026-05-09,바닐라라떼,음료,5500,1
2026-05-09,샌드위치,베이커리,7000,1
2026-05-09,샌드위치,베이커리,7000,2
2026-05-10,스콘,디저트,4000,1
2026-05-10,카푸치노,음료,5000,2
2026-05-10,샌드위치,베이커리,7000,3
2026-05-10,휘낭시에,디저트,3500,3
2026-05-10,아메리카노,음료,4500,1
2026-05-10,카페라떼,음료,5000,1
2026-05-10,바닐라라떼,음료,5500,1
2026-05-11,휘낭시에,디저트,3500,1
2026-05-11,콜드브루,음료,5500,1
2026-05-11,바닐라라떼,음료,5500,1
2026-05-12,치즈케이크,디저트,6500,1
2026-05-12,크루아상,베이커리,4500,2
2026-05-12,카푸치노,음료,5000,1
2026-05-12,카페라떼,음료,5000,2
2026-05-13,아메리카노,음료,4500,1
2026-05-13,콜드브루,음료,5500,1
2026-05-13,콜드브루,음료,5500,1
2026-05-14,바닐라라떼,음료,5500,3
2026-05-15,샌드위치,베이커리,7000,1
2026-05-15,카푸치노,음료,5000,1
2026-05-15,카푸치노,음료,5000,2
2026-05-16,샌드위치,베이커리,7000,1
2026-05-17,카페라떼,음료,5000,2
2026-05-17,휘낭시에,디저트,3500,1
2026-05-17,바닐라라떼,음료,5500,2
2026-05-17,카페라떼,음료,5000,1
2026-05-18,카페라떼,음료,5000,1
2026-05-19,샌드위치,베이커리,7000,1
2026-05-19,스콘,디저트,4000,1
2026-05-19,카푸치노,음료,5000,2
2026-05-20,치즈케이크,디저트,6500,2
2026-05-20,크로플,디저트,6000,1
2026-05-21,샌드위치,베이커리,7000,1
2026-05-21,크로플,디저트,6000,1
2026-05-21,카푸치노,음료,5000,1
2026-05-21,휘낭시에,디저트,3500,2
2026-05-22,아메리카노,음료,4500,1
2026-05-22,아메리카노,음료,4500,2
2026-05-22,치즈케이크,디저트,6500,1
2026-05-23,바닐라라떼,음료,5500,1
2026-05-23,크루아상,베이커리,4500,2
2026-05-24,콜드브루,음료,5500,2
2026-05-26,아메리카노,음료,4500,2
2026-05-26,카푸치노,음료,5000,1
2026-05-27,콜드브루,음료,5500,2
2026-05-27,크루아상,베이커리,4500,2
2026-05-28,크루아상,베이커리,4500,1
2026-05-28,크로플,디저트,6000,1
2026-05-28,바닐라라떼,음료,5500,1
2026-05-29,카페라떼,음료,5000,1
2026-05-29,아메리카노,음료,4500,1
2026-05-30,휘낭시에,디저트,3500,3
2026-05-30,카페라떼,음료,5000,1
2026-05-30,카푸치노,음료,5000,2
2026-05-31,크루아상,베이커리,4500,1
2026-06-01,스콘,디저트,4000,2
2026-06-01,콜드브루,음료,5500,2
2026-06-01,스콘,디저트,4000,2
2026-06-02,스콘,디저트,4000,2
2026-06-02,휘낭시에,디저트,3500,3
2026-06-03,바닐라라떼,음료,5500,1
2026-06-03,아메리카노,음료,4500,1
2026-06-03,바닐라라떼,음료,5500,3
2026-06-03,크로플,디저트,6000,2
2026-06-04,크로플,디저트,6000,1
2026-06-04,콜드브루,음료,5500,2
2026-06-05,휘낭시에,디저트,3500,1
2026-06-06,샌드위치,베이커리,7000,2
2026-06-06,치즈케이크,디저트,6500,2
2026-06-07,아메리카노,음료,4500,1
2026-06-07,콜드브루,음료,5500,3
2026-06-08,카푸치노,음료,5000,1
2026-06-08,바닐라라떼,음료,5500,2
2026-06-08,카페라떼,음료,5000,1
2026-06-09,바닐라라떼,음료,5500,1
2026-06-10,치즈케이크,디저트,6500,2
2026-06-10,아메리카노,음료,4500,2
2026-06-10,콜드브루,음료,5500,1
2026-06-10,아메리카노,음료,4500,1
2026-06-10,카페라떼,음료,5000,1
2026-06-11,치즈케이크,디저트,6500,3
2026-06-11,바닐라라떼,음료,5500,1
2026-06-12,카페라떼,음료,5000,2
2026-06-12,콜드브루,음료,5500,2
2026-06-12,카푸치노,음료,5000,1
2026-06-12,카페라떼,음료,5000,2
2026-06-13,크로플,디저트,6000,1
2026-06-13,아메리카노,음료,4500,1
2026-06-13,치즈케이크,디저트,6500,3
2026-06-13,아메리카노,음료,4500,1
2026-06-14,카페라떼,음료,5000,2
2026-06-14,휘낭시에,디저트,3500,1
2026-06-14,바닐라라떼,음료,5500,1
2026-06-15,크루아상,베이커리,4500,3
2026-06-15,크루아상,베이커리,4500,1
2026-06-15,휘낭시에,디저트,3500,1
2026-06-15,아메리카노,음료,4500,1
2026-06-15,스콘,디저트,4000,1
2026-06-16,카페라떼,음료,5000,1
2026-06-17,아메리카노,음료,4500,1
2026-06-18,카푸치노,음료,5000,1
2026-06-18,스콘,디저트,4000,1
2026-06-18,크로플,디저트,6000,1
2026-06-18,바닐라라떼,음료,5500,1
2026-06-20,카페라떼,음료,5000,1
2026-06-20,크로플,디저트,6000,1
2026-06-20,콜드브루,음료,5500,1
2026-06-20,샌드위치,베이커리,7000,1
2026-06-20,휘낭시에,디저트,3500,2
2026-06-21,카페라떼,음료,5000,3
2026-06-21,샌드위치,베이커리,7000,1
2026-06-21,카푸치노,음료,5000,1
2026-06-22,휘낭시에,디저트,3500,3
2026-06-23,아메리카노,음료,4500,1
2026-06-24,스콘,디저트,4000,1
2026-06-25,샌드위치,베이커리,7000,3
2026-06-27,크로플,디저트,6000,1
2026-06-27,콜드브루,음료,5500,1
2026-06-27,콜드브루,음료,5500,2
2026-06-27,카푸치노,음료,5000,2
2026-06-27,바닐라라떼,음료,5500,2
2026-06-28,휘낭시에,디저트,3500,1
2026-06-28,크루아상,베이커리,4500,1
2026-06-28,크루아상,베이커리,4500,2
2026-06-29,휘낭시에,디저트,3500,2
2026-06-29,스콘,디저트,4000,1
2026-06-29,콜드브루,음료,5500,1
2026-06-30,치즈케이크,디저트,6500,3
2026-06-30,치즈케이크,디저트,6500,3
2026-06-30,아메리카노,음료,4500,1
2026-06-30,휘낭시에,디저트,3500,1
2026-06-30,휘낭시에,디저트,3500,1
2026-06-30,치즈케이크,디저트,6500,2
2026-06-30,스콘,디저트,4000,1
